,step,loss,lr,mse_mean,mse_std,mse_err,ll_mean,ll_std,ll_err,nc_mean,nc_std,nc_err
60,2599,0.5932399,0.00026882818,,,,,,,,,
61,2609,0.5777254,0.00026978517,,,,,,,,,
62,2619,0.58804166,0.00027074222,,,,,,,,,
63,2629,0.5871437,0.00027169927,,,,,,,,,
64,2639,0.58867437,0.00027265627,,,,,,,,,
65,2649,0.5714904,0.00027361332,,,,,,,,,
66,2659,0.59405565,0.00027457037,,,,,,,,,
67,2669,0.5804981,0.00027552736,,,,,,,,,
68,2679,0.58292186,0.0002764844,,,,,,,,,
69,2689,0.5781899,0.00027744146,,,,,,,,,
70,2699,0.5621304,0.00027839845,,,,,,,,,
71,2709,0.5802851,0.0002793555,,,,,,,,,
72,2719,0.57813925,0.00028031255,,,,,,,,,
73,2729,0.5901927,0.00028126955,,,,,,,,,
74,2739,0.59975207,0.0002822266,,,,,,,,,
75,2749,0.5817529,0.00028318365,,,,,,,,,
76,2759,0.58287716,0.00028414064,,,,,,,,,
77,2769,0.58769727,0.0002850977,,,,,,,,,
78,2779,0.5835078,0.00028605474,,,,,,,,,
79,2789,0.5874568,0.00028701173,,,,,,,,,
80,2799,0.5726863,0.00028796878,,,,,,,,,
81,2809,0.5825258,0.00028892583,,,,,,,,,
82,2819,0.57812846,0.00028988282,,,,,,,,,
83,2829,0.5908804,0.00029083987,,,,,,,,,
84,2839,0.5817968,0.00029179693,,,,,,,,,
85,2849,0.5880616,0.00029275392,,,,,,,,,
86,2859,0.57775915,0.00029371097,,,,,,,,,
87,2869,0.57653934,0.00029466802,,,,,,,,,
88,2879,0.57457936,0.00029562507,,,,,,,,,
89,2889,0.5804324,0.00029658206,,,,,,,,,
90,2899,0.5870092,0.0002975391,,,,,,,,,
91,2909,0.58764315,0.00029849616,,,,,,,,,
92,2919,0.5756618,0.00029945315,,,,,,,,,
93,2929,0.5679501,0.0003004102,,,,,,,,,
94,2939,0.5749521,0.00030136725,,,,,,,,,
95,2949,0.5768159,0.00030232425,,,,,,,,,
96,2959,0.5653023,0.0003032813,,,,,,,,,
97,2969,0.5739271,0.00030423835,,,,,,,,,
98,2979,0.5598821,0.00030519534,,,,,,,,,
0,2989,0.58237696,0.0003061524,,,,,,,,,
1,2999,0.61025923,0.00030710944,,,,,,,,,
2,3009,0.5956079,0.00030806643,,,,,,,,,
3,3019,0.57610786,0.00030902348,,,,,,,,,
4,3029,0.5782475,0.00030998053,,,,,,,,,
5,3039,0.5757127,0.00031093752,,,,,,,,,
6,3049,0.55825675,0.00031189458,,,,,,,,,
7,3059,0.57006156,0.00031285163,,,,,,,,,
8,3069,0.57886946,0.00031380862,,,,,,,,,
9,3079,0.57795906,0.00031476567,,,,,,,,,
10,3089,0.5653337,0.00031572272,,,,,,,,,
11,3099,0.6012564,0.0003166797,,,,,,,,,
12,3109,0.57681465,0.00031763676,,,,,,,,,
13,3119,0.5693922,0.0003185938,,,,,,,,,
14,3129,0.58885443,0.0003195508,,,,,,,,,
15,3139,0.578986,0.00032050785,,,,,,,,,
16,3149,0.55869365,0.0003214649,,,,,,,,,
17,3159,0.5878104,0.0003224219,,,,,,,,,
18,3169,0.58017266,0.00032337895,,,,,,,,,
19,3179,0.57725704,0.000324336,,,,,,,,,
20,3189,0.5974678,0.000325293,,,,,,,,,
21,3199,0.57979566,0.00032625004,,,,,,,,,
22,3209,0.58061403,0.0003272071,,,,,,,,,
23,3219,0.5693528,0.00032816408,,,,,,,,,
24,3229,0.57115054,0.00032912113,,,,,,,,,
